821e54d2-ec63-4175-8827-eede52dddda4,Holly,+38-067-13245678,Margherita,80.50
ecd9a424-e18b-43cd-a6cf-037086cd9a7a,Chadwick,+38-067-45678912,Marinara,90.00
5d401d5c-2828-45ba-868b-9ed492c2757b,Cleavland,+38-067-78975451,Carbonara,85.00
2a989975-5782-4b17-8912-1e40c45067a2,Ailina,+38-067-45612378,Crudo,100.00
26e01bad-8a70-4765-aa1a-7632c309fb22,Bethany,+38-067-98765432,Frutti di Mare,87.99
cca7f11e-ae7c-4311-bd47-e7313572d3d3,Reed,+38-067-14885151,Quattro Formaggi,92.99
3a15a1ac-a37a-4324-b9f0-a88d2a9ea923,Reeta,+38-067-8526987,Crudo,100.00
94031b01-8e8c-4601-a434-f59db469f6a7,Leighton,+38-067-74569852,Margherita,95.30
15a1c543-f458-418a-940a-354fa1f87d0c,Sergei,+38-067-74589632,Crudo,100.00
37bbafac-8f0b-42ab-b40f-12c5ef061581,Chrisy,+38-067-74155487,Frutti di Mare,87.99
